Altium Designer Pick and Place Locations
C:\Users\Syntax\Desktop\Oasis Sandbox\Access\CSW Internal\Personal\Tim\yuzuworks\sysdev3\Project Outputs for sysdev3\Pick Place for sysdev3.csv

========================================================================================================================
File Design Information:

Date:       09-04-23
Time:       23:48
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R34","4.7k","TopLayer","C0402","39.5000","33.0000","0",""
"U11","IC MAX2204","TopLayer","SOT23-5","67.2499","14.7500","180","RF Power detector"
"R44","1k","TopLayer","C0402","70.2500","23.2500","270",""
"R43","68","TopLayer","C0402","69.7500","15.2500","270",""
"R42","220","TopLayer","C0402","69.7500","17.2500","270",""
"R41","4.7","TopLayer","C0402","68.2500","17.7500","0",""
"R40","4.7","TopLayer","C0402","71.5000","17.0000","315",""
"R39","10k","TopLayer","C0402","64.2500","13.5000","270",""
"R38","10k","TopLayer","C0402","67.2500","12.2500","0",""
"C81","100p","TopLayer","C0402","70.7500","21.5000","0",""
"C80","1u","TopLayer","C0402","69.7500","13.2500","270",""
"X4","450M","TopLayer","XO3225","45.5000","17.2500","0","Crystal oscillator"
"R37","10k","TopLayer","C0402","45.0000","14.7500","0",""
"L12","10n","TopLayer","C0402","52.7500","21.7500","180","0402 [? metric] SMD inductor"
"L11","1.8n","TopLayer","C0402","50.7500","21.7500","0","0402 [? metric] SMD inductor"
"L10","56n","TopLayer","C0402","54.2500","21.2500","90","0402 [? metric] SMD inductor"
"L9","56n","TopLayer","C0402","49.7500","19.7500","0","0402 [? metric] SMD inductor"
"L8","39n","TopLayer","C0402","54.0000","30.0000","270","0402 [? metric] SMD inductor"
"L7","39n","TopLayer","C0402","53.5000","28.5000","0","0402 [? metric] SMD inductor"
"L6","56n","TopLayer","C0402","53.0000","27.0000","270","0402 [? metric] SMD inductor"
"C79","100p","TopLayer","C0402","52.2500","20.2500","90",""
"C78","15p","TopLayer","C0402","51.2500","20.2500","90",""
"C77","1u","TopLayer","C0402","42.7500","17.0000","90",""
"C76","10u","TopLayer","C0603","41.2500","15.7500","90",""
"C75","2.7p","TopLayer","C0402","53.7500","19.7500","180",""
"C74","2.7p","TopLayer","C0402","47.7500","19.7500","180",""
"C73","1n","TopLayer","C0402","55.0000","31.0000","270",""
"C72","3.3p","TopLayer","C0402","55.0000","29.0000","90",""
"C71","3.3p","TopLayer","C0402","51.5000","28.5000","180",""
"C70","1n","TopLayer","C0402","56.5000","28.5000","180",""
"C69","10u","TopLayer","C0603","26.5000","0.7500","180",""
"R36","10k","TopLayer","C0402","60.5000","9.5000","0",""
"R35","100","TopLayer","C0603","73.0000","7.5000","270",""
"Q3","Q NCE3400","TopLayer","SOT23-3","60.5001","7.0000","0","N-Ch En MOSFET"
"D16","D VLMx333","TopLayer","PLCC2","76.5000","7.5000","0","Vishay power LED orange"
"X3","26 MHz TCXO","TopLayer","XO2520M1","41.2500","19.7625","90","Crystal oscillator"
"U9","IC QMC5883L","TopLayer","LGA16-5","53.0000","2.0000","90","Magnetometer"
"U8","IC SKY13453","TopLayer","QFN6","55.0000","25.0000","270","Switch, RF, single control, 0.01 to 6 GHz"
"U2","IC TQP7M9102","TopLayer","SOT89-3","62.7272","23.4772","45","RF PA 0.5 W"
"R33","4.7k","TopLayer","C0402","56.5000","21.7500","0",""
"R32","3.3k","TopLayer","C0402","50.7500","32.7500","90",""
"R31","1k","TopLayer","C0402","51.5000","30.0000","0",""
"R30","1k","TopLayer","C0402","39.7500","25.5000","180",""
"R29","1k","TopLayer","C0402","43.7500","21.2500","90",""
"R28","4.7k","TopLayer","C0402","56.0000","20.2500","90",""
"R27","2.7","TopLayer","C0402","60.0000","24.5000","270",""
"R26","4.7k","TopLayer","C0402","58.2500","14.5000","0",""
"R25","10k","TopLayer","C0402","61.7500","14.5000","180",""
"R24","10","TopLayer","C0402","51.5000","25.5000","180",""
"R23","390","TopLayer","C0402","45.2500","21.7500","0",""
"Q2","Q Si2301","TopLayer","SOT23-3","61.7500","16.7501","90","P-Ch En MOSFET"
"Q1","Q NCE3400","TopLayer","SOT23-3","58.2500","16.7501","90","N-Ch En MOSFET"
"P7","P MMCX-EM","TopLayer","MMCX-EM","76.6000","28.0000","180","RF MMCX connector"
"P6","P MMCX-EM","TopLayer","MMCX-EM","76.6000","16.0000","180","RF MMCX connector"
"L5","10n","TopLayer","C0402","64.7500","19.2500","90","0402 [? metric] SMD inductor"
"L4","6.8n","TopLayer","C0402","59.0000","24.5000","90","0402 [? metric] SMD inductor"
"L3","18n","TopLayer","C0402","47.2500","23.2500","270","0402 [? metric] SMD inductor"
"FB1","FB0603","TopLayer","C0603","63.7500","20.7500","180",""
"C68","10u","TopLayer","C0603","46.0000","-1.0000","90",""
"C67","220n","TopLayer","C0402","55.7500","2.0000","90",""
"C66","1u","TopLayer","C0402","50.2500","4.0000","270",""
"C65","10u","TopLayer","C0603","54.0000","5.0000","0",""
"C64","10u","TopLayer","C0603","15.0000","-29.7500","0",""
"C63","10u","TopLayer","C0603","46.0000","-15.0000","315",""
"C62","10u","TopLayer","C0603","41.5000","22.7500","90",""
"C61","10u","TopLayer","C0603","52.2500","33.0000","270",""
"C60","10u","TopLayer","C0603","37.7500","28.7500","270",""
"C59","1n","TopLayer","C0402","53.0000","25.0000","270",""
"C58","1u","TopLayer","C0402","57.5000","26.7500","180",""
"C57","100n","TopLayer","C0402","39.5000","29.5000","0",""
"C56","3.3p","TopLayer","C0402","54.5000","27.5000","0",""
"C55","1u","TopLayer","C0402","39.5000","28.5000","0",""
"C54","100n","TopLayer","C0402","49.7500","32.7500","270",""
"C53","1u","TopLayer","C0402","51.5000","31.0000","180",""
"C52","10p","TopLayer","C0402","64.2500","17.7500","180",""
"C51","22p","TopLayer","C0402","57.5000","24.0000","180",""
"C50","1n","TopLayer","C0402","66.2500","17.7500","0",""
"C49","1u","TopLayer","C0402","39.2500","19.7500","270",""
"C48","1n","TopLayer","C0402","57.5000","25.0000","0",""
"C47","22p","TopLayer","C0402","40.0000","22.7500","270",""
"C28","100n","TopLayer","C0402","43.7500","23.2500","90",""
"C27","1u","TopLayer","C0402","61.5000","21.0000","0",""
"C26","10u","TopLayer","C0603","61.2500","19.7500","0",""
"C25","1u","TopLayer","C0402","42.7500","23.2500","90",""
"C24","1u","TopLayer","C0402","51.5000","26.5000","0",""
"C23","1u","TopLayer","C0402","46.0000","23.2500","90",""
"C22","22n","TopLayer","C0402","49.7500","23.2500","0",""
"C21","100n","TopLayer","C0402","52.0000","24.0000","270",""
"C20","6.8n","TopLayer","C0402","44.7500","23.2500","270",""
"C19","100n","TopLayer","C0402","45.2500","20.7500","0",""
"U7","IC MB85RS256B","TopLayer","SOP8","13.0000","-35.0000","0","FRAM, serial, 256 Mbit"
"R22","10k","TopLayer","C0402","66.5000","7.5000","270",""
"R12","10k","TopLayer","C0402","67.7500","7.5000","270",""
"D15","LED Blue","TopLayer","LED0603v2","64.0001","6.9999","270","LED 0603"
"D12","LED Blue","TopLayer","LED0603v2","70.0001","6.9999","270","LED 0603"
"C18","1u","TopLayer","C0402","15.2500","-31.2500","180",""
"T80","TP254-2","TopLayer","H254-011-85","81.2800","-1.2700","90",""
"T79","TP254-2","TopLayer","H254-011-85","73.6600","-31.7500","90",""
"T78","TP254-2","TopLayer","H254-011-85","78.7400","-1.2700","90",""
"T77","TP254-2","TopLayer","H254-011-85","76.2000","-31.7500","90",""
"T76","TP254-2","TopLayer","H254-011-85","76.2000","-1.2700","90",""
"T75","TP254-2","TopLayer","H254-011-85","81.2800","-31.7500","90",""
"T74","TP254-2","TopLayer","H254-011-85","73.6600","-1.2700","90",""
"T73","TP254-2","TopLayer","H254-011-85","83.8200","-31.7500","90",""
"T72","TP254-2","TopLayer","H254-011-85","83.8200","-3.8100","90",""
"T71","TP254-2","TopLayer","H254-011-85","78.7400","-31.7500","90",""
"U6","IC TMP235","TopLayer","SOT363-5","68.2500","23.7500","270","Analog output temperature sensor"
"T70","TP254-2","TopLayer","H254-011-85","81.2800","-34.2900","90",""
"T69","TP254-2","TopLayer","H254-011-85","81.2800","-36.8300","90",""
"T68","TP254-2","TopLayer","H254-011-85","78.7400","-36.8300","90",""
"T67","TP254-2","TopLayer","H254-011-85","78.7400","-34.2900","90",""
"T66","TP254-2","TopLayer","H254-011-85","76.2000","-36.8300","90",""
"T65","TP254-2","TopLayer","H254-011-85","76.2000","-34.2900","90",""
"T64","TP254-2","TopLayer","H254-011-85","73.6600","-36.8300","90",""
"T63","TP254-2","TopLayer","H254-011-85","73.6600","-34.2900","90",""
"T62","TP254-2","TopLayer","H254-011-85","81.2800","-16.5100","90",""
"T58","TP254-2","TopLayer","H254-011-85","78.7400","-16.5100","90",""
"T57","TP254-2","TopLayer","H254-011-85","76.2000","-16.5100","90",""
"T41","TP254-2","TopLayer","H254-011-85","73.6600","-16.5100","90",""
"C17","1u","TopLayer","C0402","68.2500","21.5000","180",""
"T56","TP254-2","TopLayer","H254-011-85","73.6600","-19.0500","90",""
"T55","TP254-2","TopLayer","H254-011-85","76.2000","-19.0500","90",""
"T54","TP254-2","TopLayer","H254-011-85","81.2800","-19.0500","90",""
"T53","TP254-2","TopLayer","H254-011-85","78.7400","-19.0500","90",""
"T51","TP254-2","TopLayer","H254-011-85","83.8200","-1.2700","90",""
"T50","TP254-2","TopLayer","H254-011-85","83.8200","-6.3500","90",""
"T49","TP254-2","TopLayer","H254-011-85","76.2000","-11.4300","90",""
"T48","TP254-2","TopLayer","H254-011-85","81.2800","-8.8900","90",""
"T47","TP254-2","TopLayer","H254-011-85","81.2800","-6.3500","90",""
"T46","TP254-2","TopLayer","H254-011-85","83.8200","-8.8900","90",""
"R11","10k","TopLayer","C0402","46.0000","-32.0000","270",""
"R10","10k","TopLayer","C0402","46.0000","-36.0000","270",""
"R9","10k","TopLayer","C0402","28.5000","1.5000","90",""
"D11","LED Red","TopLayer","LED0603v2","48.0001","-32.0001","270","LED 0603"
"D10","LED Green","TopLayer","LED0603v2","48.0001","-36.0001","270","LED 0603"
"D9","LED Yellow","TopLayer","LED0603v2","30.0001","1.9999","270","LED 0603"
"U4","IC ADF7021","TopLayer","QFN48-7-0.5-4.1","45.0000","29.0000","180","Sub GHz transceiver"
"C16","1u","TopLayer","C0402","25.2500","-31.2500","180",""
"T61","TP254-2","TopLayer","H254-011-85","73.6600","-11.4300","90",""
"T60","TP254-2","TopLayer","H254-011-85","78.7400","-11.4300","90",""
"T59","TP254-2","TopLayer","H254-011-85","78.7400","-8.8900","90",""
"T52","TP254-2","TopLayer","H254-011-85","83.8200","-13.9700","90",""
"U12","IC AP3419","TopLayer","SOT23-6","18.0000","15.0000","270","Step down converter with synchronous rectification, 5V input"
"R21","10k","TopLayer","C0402","21.0000","17.0000","0",""
"R20","10k","TopLayer","C0402","21.0000","24.0000","0",""
"R19","22k","TopLayer","C0402","21.0000","14.0000","180",""
"R18","100k","TopLayer","C0402","21.0000","15.5000","180",""
"R17","10k","TopLayer","C0402","21.0000","18.5000","0",""
"L2","2.2u","TopLayer","C1008","16.5000","18.5000","0","1008 [2520 metric] SMD inductor"
"D14","LED Yellow","TopLayer","LED0603v2","23.5001","15.4999","270","LED 0603"
"D13","LED Yellow","TopLayer","LED0603v2","23.5001","22.4999","270","LED 0603"
"C46","22u","TopLayer","C0805","11.0000","18.5000","90",""
"C45","22u","TopLayer","C0805","13.0000","18.5000","90",""
"C44","22u","TopLayer","C0805","15.0000","15.0000","90",""
"C43","22u","TopLayer","C0805","13.0000","15.0000","90",""
"C42","22u","TopLayer","C0805","11.0000","15.0000","90",""
"R16","4.7k","TopLayer","C0402","14.2500","-9.0000","0",""
"R15","4.7k","TopLayer","C0402","12.2500","-9.0000","180",""
"R14","4.7k","TopLayer","C0402","42.2500","-2.0000","180",""
"R13","4.7k","TopLayer","C0402","44.2500","-2.0000","0",""
"P5","H254-051-85","TopLayer","H254-051-85","31.5000","31.4200","270",""
"T43","TP254-2","TopLayer","H254-011-85","83.8200","-19.0500","90",""
"T44","TP254-2","TopLayer","H254-011-85","11.4300","7.3900","180",""
"T45","TP254-2","TopLayer","H254-011-85","83.8200","-26.6700","90",""
"X2","24M","TopLayer","XO3225","15.5000","-5.2500","135","Crystal oscillator"
"X1","32.768k","TopLayer","XO3215-2P","22.3536","0.5000","225","Crystal oscillator"
"U10","IC STM32L476ZGTx","TopLayer","QFP144-20-0.5","30.0000","-15.0000","315","Cortex-M4 MCU"
"U5","IC W25Q128JVSIQ","TopLayer","SOIC8","22.0001","-34.9999","0","nand flash 128 Mb (16 MB) winbond"
"U3","IC ISM330DHCX","TopLayer","LGA14-5","43.2500","2.0000","0","Fancy accelerometer and gyroscope"
"U1","IC AP3419","TopLayer","SOT23-6","18.0000","22.0000","270","Step down converter with synchronous rectification, 5V input"
"T42","TP254-2","TopLayer","H254-011-85","11.4300","9.9300","270",""
"T40","TP254-2","TopLayer","H254-011-85","31.5000","10.0000","90",""
"T39","TP254-2","TopLayer","H254-011-85","31.5000","12.5400","90",""
"T38","TP254-2","TopLayer","H254-011-85","31.5000","7.4600","90",""
"T37","TP254-2","TopLayer","H254-011-85","81.2800","-29.2100","90",""
"T36","TP254-2","TopLayer","H254-011-85","78.7400","-29.2100","90",""
"T35","TP254-2","TopLayer","H254-011-85","81.2800","-26.6700","90",""
"T34","TP254-2","TopLayer","H254-011-85","78.7400","-26.6700","90",""
"T33","TP254-2","TopLayer","H254-011-85","81.2800","-24.1300","90",""
"T32","TP254-2","TopLayer","H254-011-85","78.7400","-24.1300","90",""
"T31","TP254-2","TopLayer","H254-011-85","81.2800","-21.5900","90",""
"T30","TP254-2","TopLayer","H254-011-85","78.7400","-21.5900","90",""
"T29","TP254-2","TopLayer","H254-011-85","83.8200","-34.2900","270",""
"T28","TP254-2","TopLayer","H254-011-85","83.8200","-21.5900","90",""
"T27","TP254-2","TopLayer","H254-011-85","73.6600","-21.5900","90",""
"T26","TP254-2","TopLayer","H254-011-85","73.6600","-6.3500","0",""
"T25","TP254-2","TopLayer","H254-011-85","76.2000","-21.5900","90",""
"T24","TP254-2","TopLayer","H254-011-85","76.2000","-6.3500","0",""
"T23","TP254-2","TopLayer","H254-011-85","73.6600","-24.1300","90",""
"T22","TP254-2","TopLayer","H254-011-85","78.7400","-6.3500","0",""
"T21","TP254-2","TopLayer","H254-011-85","76.2000","-24.1300","90",""
"T20","TP254-2","TopLayer","H254-011-85","83.8200","-29.2100","0",""
"T19","TP254-2","TopLayer","H254-011-85","73.6600","-26.6700","90",""
"T18","TP254-2","TopLayer","H254-011-85","76.2000","-26.6700","90",""
"T17","TP254-2","TopLayer","H254-011-85","73.6600","-3.8100","180",""
"T16","TP254-2","TopLayer","H254-011-85","73.6600","-29.2100","90",""
"T15","TP254-2","TopLayer","H254-011-85","76.2000","-3.8100","180",""
"T14","TP254-2","TopLayer","H254-011-85","76.2000","-29.2100","90",""
